Company_ID,Attribute_ID,Source,,,,,,,,,,,,,,
132,,https://www.chemicalbook.com/EnterpriseCredit_9954985.htm,,,,,,,,,,,,,,
133,,https://www.eworldtrade.com/c/shanghaihongrunchemistrylab/,,,,,,,,,,,,,,
134,,https://www.hk-chemlab.com/,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,http://hdjhhg.okhy.cn/news/ ; http://u48599783.b2bname.com/sp-archive-p1.html,,,,,,,,,,,,,,
137,,https://www.eworldtrade.com/pd/wuhanwuhantuoke/good-quality-alprazolam-alprazolam/181585/ ; https://www.chemicalbook.com/EnterpriseCredit_1105191488.htm,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,http://china-biolab.vvchem.com/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
