ID,Name
CB_Company_137,"Wuhan woxuan Technology Co., Ltd"
CB_Company_138,"Sanover (Xiamen) Technology Co., Ltd"
CB_Company_139,"Shanghai klamar Reagent Co., LTD"
CB_Company_140,"Shaanxi wopin Chemical Technology Co., Ltd"
CB_Company_141,"Hangzhou J&H Chemical Co., Ltd."
CB_Company_142,"Bayee Biotech (Anqing) Co., Ltd."
CB_Company_143,"Chengdu Saint - Kay Biotechnology Co., Ltd."
CB_Company_144,"Suzhou yacoo science co.,Ltd"
CB_Company_145,"Nanjing XiZe Biotechnology CO., Ltd."
CB_Company_146,"Shanghai Haohong Pharmaceutical Co., Ltd."
CB_Company_147,"Zhengzhou Acme Chemical Co., Ltd."
CB_Company_148,tonsooh
CB_Company_149,Aikon International Limited
CB_Company_150,"Shaanxi Lihe Tongchuang Chemical Technology Co., Ltd"
CB_Company_151,Wuhan hongde yuexin pharmaceutical technology co. LTD
CB_Company_152,"Wuhan Yuqing Jiaheng Pharmaceutical Co., Ltd"
CB_Company_153,"Beijing FYF Chemicals Co., Ltd"
CB_Company_154,"Hubei Wande Chemical Co., Ltd"
CB_Company_155,"Wuhan Jushun Chemical Co., Ltd"
CB_Company_156,"Hangzhou Hesheng Taiyi Biotechnology Co. , Ltd."
CB_Company_157,"Changzhou Hongda New Material Technology Co., Ltd."
CB_Company_158,"Shanghai Boer Chemical Reagent Co., LTD"
CB_Company_159,"Shanghai kadel chemical technology co., LTD"
CB_Company_160,"Jinhui Biological Technology Co., Ltd."
CB_Company_161,"Jingzhou Yinjie Chemical Co., Ltd"
CB_Company_162,"Hubei Chenxin Pharmaceutical Co., Ltd."
CB_Company_163,"Yutong Pharmaceutical Technology (Suzhou) Co., Ltd."
CB_Company_164,Henan yingchuang
CB_Company_165,"Hepharma Biology And Technology CO.,LTD."
CB_Company_166,"Hangzhou Yaoruiyicheng Biological Medicine Co., Ltd"
CB_Company_167,"Guangzhou Dreampharm Biotechnology Co., Ltd."
CB_Company_168,"Shanghai Zeye Biotechnology Co., Ltd."
CB_Company_169,"Shanghai Yubo Biotechnology Co., Ltd."
CB_Company_170,"Jinan Aiduofu Pharmaceutical Technology Co., Ltd."
CB_Company_171,"Jiangsu Lianchang New Material Co., Ltd."
CB_Company_172,"Shanghai Qincheng Biological Technology Co., Ltd."
CB_Company_173,"Shanghai Tongwei Chemical Co., Ltd."
CB_Company_174,"Beijing Luyuan Bird Biotechnology Co., Ltd."
CB_Company_175,"Baishun (Beijing) Chemical Technology Co., Ltd."
CB_Company_176,"Shanghai Huzhen Industrial Co., Ltd."
CB_Company_177,"Shanghai Yanjin Biological Technology Co., Ltd."
CB_Company_178,"Shanghai Shize Biological Technology Co., Ltd."
CB_Company_179,"Jiangxi Jianglan Pure Biological Reagent Co., Ltd."
CB_Company_180,"Shanghai Ruichu Biotechnology Co., Ltd."
CB_Company_181,"He Peng (Shanghai) Biological Technology Co., Ltd."
CB_Company_182,"Rhenbo (Shanghai) Biochemical Technology Co., Ltd."
CB_Company_183,Shuyang Goldchem Chemical Factory
CB_Company_184,"Jintan Depei Chemical Co., Ltd"
CB_Company_185,"Beijing Qinghongfu Technology Co., Ltd."
CB_Company_186,"Jiangsu Yutian Pharmaceutical Co., Ltd"
CB_Company_187,"Shanghai Hao Zhun Biological Technology Co., Ltd."
CB_Company_188,"Anhui Feixiang Pharmaceutical Technology Co., Ltd."
CB_Company_189,"Capot Chemical Co.,Ltd."
CB_Company_190,Shaanxi Dideu Medichem Co. Ltd
CB_Company_191,Fuxin Pharmaceutical
CB_Company_192,AFINE CHEMICALS LIMITED
CB_Company_193,Finetech Industry Limited
CB_Company_194,"Baoji Guokang Bio-Technology Co., Ltd."
CB_Company_195,CD Chemical Group Limited
CB_Company_196,"Shandong Zhishang New Material Co., Ltd."
CB_Company_197,Hebei Dangtong Import and export Co LTD
CB_Company_198,"Henan Aochuang Chemical Co.,Ltd."
CB_Company_199,Henan Bao Enluo International TradeCo.ï¼ŒLTD
CB_Company_200,"Changzhou AniKare Pharmatech Co., Ltd."
CB_Company_201,"Jiangsu Guiren Medicine Co.,Ltd"
CB_Company_202,"Jinan Carbotang Biotech Co.,Ltd."
CB_Company_203,"Changzhou Fullone Chemical Co., Ltd."
CB_Company_204,"Zhengzhou Lingzhiyue Technology Co., Ltd"
CB_Company_205,Hangzhou Verychem Science And Technology Co.Ltd
CB_Company_206,"Shanghai Minstar Industries Co., Limited"
CB_Company_207,"Changzhou Elly Industrial Imp & Exp Co., Ltd."
CB_Company_208,"Changzhou Ansciep Chemical Co.,Ltd."
CB_Company_209,"Shanghai Yolne Chemical Co., Ltd."
CB_Company_210,"Shanghai Nuohey Chemical Co., Ltd."
CB_Company_211,"Hunan HuaTeng Pharmaceutical Co., Ltd.,"
CB_Company_212,"Jiaxing Deyi Chemical Co., Ltd."
CB_Company_213,"Changzhou Anchor Biological Technology Co., Ltd"
CB_Company_214,yxinchem
CB_Company_215,Changzhou Liren Medical Technology Co. Ltd.
CB_Company_216,"Shanghai Pin Research Chemical Co., Ltd."
CB_Company_217,"Weifang Siyuan Chemical Co., Ltd."
CB_Company_218,"Institute of Ultrafine Chemicals, Bohai University"
CB_Company_219,"Xuzhou Ruisai Technology Industry Co., Ltd"
CB_Company_220,Bright Chemicals
CB_Company_221,"Xuzhou Dayang Chemical Co., Ltd"
CB_Company_222,"Suzhou Boke Chemical Co., Ltd"
CB_Company_223,"Synchemie Co., Ltd"
CB_Company_224,"YangZhou Hepuchem Co.,Ltd."
CB_Company_225,Shanghai MEG Imp. and Exp. Corporation
CB_Company_226,"Zhejiang Chemline International Co., Ltd."
CB_Company_227,"Beijing Sinowall Science & Technology Co., Ltd"
CB_Company_228,Changshu Yuxi Chemical Factory
CB_Company_229,"Kouting Chemical Co., Ltd."
CB_Company_230,"Shanghai Meg Import & Export Co., Ltd"
